,Site Id,Name,Latitude,Longitude,Basin
0,225213,Aberfeldy River at Beardmore,-37.85381845,146.4331719,Thomson River Basin
1,405209,Acheron River at Taggerty,-37.31772866,145.7128865,Goulburn River Basin
2,407238,Adekate Creek at Creswick,-37.44433032,143.94944447,Loddon River Basin
3,227211,Agnes River at Toora,-38.6399743,146.3724776,Other
4,233250,Agroforestry Site at Racecourse Paddock Gerangamete,-38.4480865,143.73131223,Barwon River Basin
5,235209,Aire River at Beech Forest,-38.66849499,143.58127493,Other
6,235219,Aire River at Wyelangta,-38.7031718,143.47729189,Other
7,227258,Albert River at Gelliondale,-38.57538504,146.57198821,Other
8,227208,Albert River at Hiawatha (Above Falls),-38.51666667,146.4666667,Other
9,227216,Albert River at Hiawatha (Below Falls),-38.5274,146.4707,Other
10,235260,Anglesea River (Marshy Creek) at Alcoa,-38.389691603,144.172988764,Other
11,235278,Anglesea River at Great Ocean Road Bridge,-38.40507409,144.1861279,Other
12,235277,Anglesea River at Gumflats Road,-38.345611773,144.148288202,Other
13,235280,Anglesea Swamp at Vegetation Site P7 Transect,-38.35777475,144.172068731,Other
14,235272,Anglesea Wetlands at Allardyle Track,-38.381828384,144.17271132,Other
15,235279,Apollo Bay Basin,-38.76517046,143.6536462,Other
16,228285,Ararat Creek At Nar Nar Goo Longwarry Road,-38.0832,145.593,Bunyip River Basin
17,405721,Ardmona Main Drain at Retarding Basin,-36.32350531,145.2962241,Goulburn River Basin
18,405753,Ardmona Main Drain at Retarding Basin's Inlet,-36.34970014,145.2949291,Goulburn River Basin
19,226602,Area 2 Site1 at Dowds Morass Nth,-38.148027419,147.182647389,Latrobe River Basin
20,226603,Area 4 Site 2 at Dowds Morass Sth,-38.15471702,147.1891502,Latrobe River Basin
21,235205,Arkins Creek West Branch at Wyelangta,-38.63955922,143.44313969,Other
22,229104,Armstrong Creek at upstream of Of Weir,-37.63666667,145.86,Yarra River Basin
23,229107,Armstrong Creek East Branch at upstream of Of Weir,-37.63833333,145.8666667,Yarra River Basin
24,231229,Arnold Creek at downstream of Of Melton,-37.70333333,144.56,Werribee River Basin
25,231228,Arnold Creek at upstream of Of Melton,-37.67,144.5666667,Werribee River Basin
26,229208,Arthurs Creek at Strathewen,-37.53166667,145.2766667,Yarra River Basin
27,408800,Avoca Rain Gauge at Avoca Water Treatment Plant,-37.0871361,143.4826734,Avoca River Basin
28,408202,Avoca River at Amphitheatre,-37.18202767,143.4055621,Avoca River Basin
29,408206,Avoca River at Archdale Junction,-36.88473812,143.5030939,Avoca River Basin
30,408212,Avoca River at Charlton,-36.25380216,143.3774657,Avoca River Basin
31,408200,Avoca River at Coonooer,-36.43809,143.29839,Avoca River Basin
32,408211,Avoca River at Mount Lonarch,-37.23333333,143.4,Avoca River Basin
33,408213,Avoca River at Outfall Tresco Pumphouse,-35.47242435,143.6805991,Avoca River Basin
34,408203,Avoca River at Quambatook,-35.90616922,143.5121865,Avoca River Basin
35,408209,Avoca River at Sandhill Lake Road,-35.73397305,143.6846113,Avoca River Basin
36,408219,Avoca River At Charlton Township,-36.267109,143.34874,Avoca River Basin
37,415224,Avon River at Beazley's Bridge,-36.6985,143.16734,Wimmera River Basin
38,225211,Avon River at Buxton,-37.816667,146.95,Thomson River Basin
39,225234,Avon River at Clydebank (Chinn's Bridge),-38.0238042,147.1736143,Thomson River Basin
40,415211,Avon River at Mitchells Hill,-36.66666661,143.083328,Wimmera River Basin
41,225201,Avon River at Stratford,-37.9685868,147.0760061,Thomson River Basin
42,225224,Avon River at The Channel,-37.80184085,146.8849073,Thomson River Basin
43,225205,Avon River at Valencia Creek,-37.82517,146.98697,Thomson River Basin
44,415220,Avon River at Wimmera Highway,-36.64058,142.97865,Wimmera River Basin
45,225255,Avon River upstream of Valencia Ck Junction,-37.8216,146.981,Thomson River Basin
46,404808,Aws (Broken Ck) at Harding's Weir,-36.0485118,145.08627671,Broken River Basin
47,406214,Axe Creek at Longlea,-36.77349188,144.4281046,Campaspe River Basin
48,406216,Axe Creek at Sedgewick,-36.89687871,144.355601,Campaspe River Basin
49,406262,Axe Creek at Strathfieldsaye,-36.81091716,144.3912111,Campaspe River Basin
50,407257,Back Creek at Bendigo Quarry Hill,-36.76333333,144.2916667,Loddon River Basin
51,402212,Back Creek at Moores,-36.34,146.8433333,Kiewa River Basin
52,404202,Back Creek at Nillahcootie,-36.84166667,146.015,Broken River Basin
53,228386,Balcombe Creek At Nepean Highway Mount Martha,-38.2642,145.037,Bunyip River Basin
54,232709,Ballan Channal at 26.1 Km Gauge,-37.74399965,144.1796703,Moorabool River Basin
55,232710,Ballan Channel at 35.3 Km Gauge,-37.78353704,144.1981374,Moorabool River Basin
56,232707,Ballan Channel at Flacks Lane (2.8 Km Gauge),-37.57690972,144.1918654,Moorabool River Basin
57,232708,Ballan Channel downstream of Bostock Channel Junction,-37.67336408,144.2049299,Moorabool River Basin
58,233718,Ballarat Sth Waste Water Treatment Plant O/Fall,-37.61214,143.84505,Barwon River Basin
59,406753,Bamawm Drain 11/1 at Foster Road,-36.34700342,144.6296184,Campaspe River Basin
60,406744,Bamawm Drain No.3 Extension at O'Donnel Road,-36.33352883,144.6446532,Campaspe River Basin
61,406751,Bamawm Main Drain at downstream of Waranga Western Channel,-36.31453986,144.6242542,Campaspe River Basin
62,406750,Bamawm Main Drain at Dargon's Bridge,-36.12873992,144.600682,Campaspe River Basin
63,406745,Bamawm Main Drain at Dingee Road,-36.37144444,144.6625,Campaspe River Basin
64,406743,Bamawm Main Drain at O'Donnell's Road,-36.34166667,144.525,Campaspe River Basin
65,406758,Bamawn Main Drain at Richardson Lagoon Outfall,-36.04050133,144.5788256,Campaspe River Basin
66,235214,Barham River East Branch at Apollo Bay,-38.72833333,143.63,Other
67,235233,Barham River East Branch at Apollo Bay Paradise,-38.75502396,143.62497305,Other
68,235221,Barham River West Branch at Apollo Bay,-38.76666667,143.63,Other
69,225217,Barkly River at Glencairn,-37.56089469,146.5663437,Thomson River Basin
70,234210,Barongarook Creek at Lake Colac,-38.34166667,143.5933333,Other
71,407317,Barr Creek at Barr Creek Pumps,-35.55815561,143.85193461,Loddon River Basin
72,407216,Barr Creek at Capels Crossing,-35.60833333,143.95,Loddon River Basin
73,407252,Barr Creek at Capels Flume,-35.60466,143.93106,Loddon River Basin
74,407283,Barr Creek at Schwenkes Road,-35.75777148,144.10546,Loddon River Basin
75,230212,Barringo Creek at Barringo (Ds Of Diversion Weir),-37.42166667,144.6183333,Maribyrnong River Basin
76,230209,Barringo Creek at Barringo (upstream of Of Diversion),-37.41050387,144.6260551,Maribyrnong River Basin
77,230224,Barringo Creek at Sanatorium Lake,-37.37833333,144.6166667,Maribyrnong River Basin
78,403236,Barwidgee Creek at Myrtleford,-36.50666667,146.7783333,Ovens River Basin
79,233217,Barwon River at Geelong,-38.16360559,144.34689219,Barwon River Basin
80,233218,Barwon River at Inverleigh,-38.14925264,143.9903598,Barwon River Basin
81,233247,Barwon River at Kildean Lane,-38.29928,143.9375,Barwon River Basin
82,233219,Barwon River at Murgheboluc,-38.11666667,144.15,Barwon River Basin
83,233200,Barwon River at Pollocksford,-38.14339597,144.18710041,Barwon River Basin
84,233224,Barwon River at Ricketts Marsh,-38.32521467,143.8335511,Barwon River Basin
85,233201,Barwon River at Winchelsea,-38.241768775,143.991733515,Barwon River Basin
86,233214,Barwon River East Branch at Forrest,-38.53298808,143.7292796,Barwon River Basin
87,233204,Barwon River East Branch at Forrest (Below Tunnel),-38.51333333,143.7316667,Barwon River Basin
88,233269,Barwon River upstream of Lower Barrage Of Geelong Wetlands,-38.21392033,144.41107426,Barwon River Basin
89,233203,Barwon River West Branch at Forrest,-38.50833333,143.7183333,Barwon River Basin
90,227206,Bass River at Glen Forbes,-38.45833333,145.5416667,Other
91,227231,Bass River at Glen Forbes South,-38.46690301,145.5151703,Other
92,227219,Bass River at Loch,-38.35761263,145.7250841,Other
93,232713,Beale Channel at Bully Park,-37.54738089,144.0266458,Moorabool River Basin
94,233708,Beale-Pincott Channel at Kierces Rd,-37.5481,143.96851,Barwon River Basin
95,227248,Bellview Creek upstream of Bellview Reservoir,-38.40014519,145.8131798,Other
96,221205,Bemm River at Bemm River,-37.73833333,148.9508333,East Gippsland Basin
97,221200,Bemm River at Club Terrace,-37.54138889,148.9344444,East Gippsland Basin
98,221212,Bemm River at Princes Highway,-37.60712619,148.9016487,East Gippsland Basin
99,221225,Bemm River upstream of Of Pumphouse,-37.72962305,148.9510043,East Gippsland Basin
100,407254,Bendigo Creek at Bendigo,-36.74535142,144.2907234,Loddon River Basin
101,407256,Bendigo Creek at Bendigo Golden Square,-36.785,144.2416667,Loddon River Basin
102,407255,Bendigo Creek at Huntly,-36.63313628,144.3646811,Loddon River Basin
103,407282,Bendigo Creek at Huntly Anabranch,-36.63666667,144.36,Loddon River Basin
104,407211,Bet Bet Creek at Bet Bet,-36.92226552,143.7467637,Loddon River Basin
105,407288,Bet Bet Creek at Lillicur,-37.18778799,143.5228329,Loddon River Basin
106,407220,Bet Bet Creek at Norwood,-36.99477,143.64259,Loddon River Basin
107,221203,Betka River at Mallacoota,-37.59138889,149.6944444,East Gippsland Basin
108,221218,Betka River at Miners Track,-37.59533524,149.63561819,East Gippsland Basin
109,409608,Big Reedy Lagoon at Southern Shore Off Reedy's Track,-35.983333,145.91457,Murray Basin
110,401405,Big River at Below Cairn Creek,-36.77666667,147.3066667,Upper Murray River Basin
111,405264,Big River at downstream of Of Frenchman Creek Junction,-37.51940015,146.0760963,Goulburn River Basin
112,401411,Big River at Glen Valley,-36.85333333,147.455,Upper Murray River Basin
113,401412,Big River at Glen Willlis,-36.88833333,147.46,Upper Murray River Basin
114,405227,Big River at Jamieson,-37.36747223,146.05695748,Goulburn River Basin
115,401216,Big River at Jokers Creek,-36.93271871,147.4721913,Upper Murray River Basin
116,226022,Billy Creek at Jeeralang Junction,-38.34833333,146.4066667,Latrobe River Basin
117,226039,Billy Creek at upstream of Of Offtake Weir,-38.35,146.3833333,Latrobe River Basin
118,407247,Birch Creek at Clunes Weir (Head Gauge),-37.33333333,143.9,Loddon River Basin
119,407609,Birch Creek at Dean Reservoir,-37.476588,144.012651,Loddon River Basin
120,407249,Birch Creek at Newlyn Reservoir (Tail Gauge),-37.40427396,144.0034496,Loddon River Basin
121,407227,Birch Creek at Smeaton,-37.33382633,143.922531,Loddon River Basin
122,233249,Birregurra Creek at Irrewarra,-38.2926531,143.70424172,Barwon River Basin
123,233211,Birregurra Creek at Ricketts Marsh,-38.29604249,143.838326,Barwon River Basin
124,232214,Black Creek at upstream of Of Bungal Dam,-37.62982,144.06236,Moorabool River Basin
125,403247,Black Dog Creek Upstream Of Dugays Bridge,-36.07319521,146.31799844,Ovens River Basin
126,403229,Black Range Creek at Edi Uppper,-36.69666667,146.465,Ovens River Basin
127,407340,Black Swamp at Gunbower Creek Offtake,-35.71079934,144.17805179,Loddon River Basin
128,229670,Blackburn Lake at Blackburn,-37.82577,145.16227,Yarra River Basin
129,227221,Bodman Creek at Bridges,-38.43333333,146.7333333,Other
130,403226,Boggy Creek at Angleside,-36.60631247,146.3624987,Ovens River Basin
131,225248,Boggy Creek at Cornwalls Road,-38.00479621,146.91834072,Thomson River Basin
132,236223,Boggy Creek at Stavely,-37.55666667,142.6783333,Hopkins River Basin
133,230218,Bolinda Creek at Mount Eliza,-37.37333333,144.685,Maribyrnong River Basin
134,230704,Bolinda Creek Offtake at Bolinda Creek,-37.37087626,144.6679206,Maribyrnong River Basin
135,230243,Bolinda Creek Pdr Flow at Bolinda Creek Offtake,-37.37087626,144.6679206,Maribyrnong River Basin
136,232237,Bolwarra Res. H.G.,-37.55864871,144.1769202,Moorabool River Basin
137,404215,Boosey Creek at Lake Rowan,-36.27169444,145.9601111,Broken River Basin
138,404204,Boosey Creek at Tungamah,-36.12376902,145.83191054,Broken River Basin
139,232705,Bostock Channel at Egerton Road,-37.63169926,144.1754598,Moorabool River Basin
140,414226,Bottle Bend Billabong East Of Red Cliffs (Wq),-34.3092603,142.2460601,Murray Basin
141,233273,Boundary Creek at Barongarook,-38.41467698,143.63348433,Barwon River Basin
142,233276,Boundary Creek at downstream of Big Swamp,-38.421768367,143.70243373,Barwon River Basin
143,233229,Boundary Creek at downstream of Of Macdonalds Dam,-38.40877494,143.68182753,Barwon River Basin
144,233230,Boundary Creek at Mcdonald's Dam,-38.40666667,143.6766667,Barwon River Basin
145,233231,Boundary Creek at upstream of Of Mcdonalds Dam,-38.403679,143.674728,Barwon River Basin
146,233228,Boundary Creek at Yeodene,-38.42125009,143.7109799,Barwon River Basin
147,414734,Boundry Bend Drain at The Dam,-34.73318,143.16705,Murray Basin
148,414733,Boundry Bend Drain Outfall To Murray River,-34.7163,143.16374,Murray Basin
149,407293,Box Creek at downstream of Kow Swamp Regulator,-35.93087179,144.2623549,Loddon River Basin
150,407295,Box Creek at Mansfield's Bridge,-35.91416646,144.203535,Loddon River Basin
151,407298,Box Creek at upstream of Mansfield Road,-35.925,144.205,Loddon River Basin
152,230219,Boyd Creek at Darraweit Guim,-37.39425111,144.8965244,Maribyrnong River Basin
153,238601,Brady Swamp at Glenthompson,-37.60698303,142.452713,Glenelg River Basin
154,405251,Brankeet Creek at Ancona,-36.9688213,145.7854573,Goulburn River Basin
155,235273,Breakfast Creek at Bridge On Breakfast Creek Road,-38.382527499,144.062719945,Other
156,235274,Breakfast Creek Tributary at V-Notch,-38.377917585,144.056737446,Other
157,237602,Bridgewater Lake at Bridgewater,-38.316667,141.4,Other
158,222202,Brodribb River at Sardine Creek,-37.51153449,148.5473254,Snowy River Basin
159,222223,Brodribb River at upstream of Lake Curlip,-37.726682,148.54308,Snowy River Basin
160,404248,Broken Ck At Numurkah,-36.09483655,145.4425982,Broken River Basin
161,404217,Broken Creek (Channel) at Casey Weir (Near Goorambat),-36.47314,145.94144,Broken River Basin
162,404244,Broken Creek at Harding's Weir,-36.04870149,145.08601903,Broken River Basin
163,404214,Broken Creek at Katamatite,-36.09853841,145.6851538,Broken River Basin
164,404250,Broken Creek at Larissa Road,-36.09875,145.59416667,Broken River Basin
165,404210,Broken Creek at Rices Weir,-35.96779,144.9619,Broken River Basin
166,404249,Broken Creek at School Rd,-36.144152,145.796879,Broken River Basin
167,404239,Broken Creek at Waggarandall Weir,-36.29295002,145.8342709,Broken River Basin
168,404238,Broken Creek at Walsh's Bridge,-36.098822,145.331786,Broken River Basin
169,404242,Broken R at Casey's Weir Combined Flow,-36.47307221,145.94141072,Broken River Basin
170,404241,Broken R at Casey's Weir Fish Ladder,-36.47362778,145.9414107,Broken River Basin
171,404203,Broken River at Benalla,-36.5520875,145.9798536,Broken River Basin
172,404243,Broken River at downstream of Back Creek Junction,-36.84537159,146.0106833,Broken River Basin
173,404216,Broken River at Goorambat (Casey Weir H. Gauge),-36.47353488,145.9417393,Broken River Basin
174,404221,Broken River at Goorambat (Casey Weir Pdr),-36.47433417,145.9373418,Broken River Basin
175,404200,Broken River at Goorambat (Casey Weir T. Gauge),-36.47525,145.9384444,Broken River Basin
176,404224,Broken River at Gowangardie,-36.43366659,145.6691815,Broken River Basin
177,404226,Broken River at Lake Mokoan Diversion Weir,-36.61598172,145.98285917,Broken River Basin
178,404218,Broken River at Lake Nillahcootie (Head Gauge),-36.85471607,146.0092056,Broken River Basin
179,404205,Broken River at Lima South,-36.84166667,146.0166667,Broken River Basin
180,404206,Broken River at Moorngag,-36.79785634,146.01927548,Broken River Basin
181,404223,Broken River at Mooroopna Railway Bridge,-36.39833333,145.38,Broken River Basin
182,404209,Broken River at Mount Samaria,-36.85,146.0083333,Broken River Basin
183,404201,Broken River at Nillahcootie,-36.84166667,146.0083333,Broken River Basin
184,404222,Broken River at Orrvale,-36.4313885,145.4497833,Broken River Basin
185,404213,Broken River at Yin Barun,-36.66138889,145.9907222,Broken River Basin
186,404227,Broken River Regulator at Broken River By-Pass Channel,-36.61564,145.98077,Broken River Basin
187,414728,Brown's Group Drainage Area at Brown's Road,-34.54873671,142.3882218,Murray Basin
188,234212,Browns Waterholes downstream of Lismore (Urara),-38.01837695,143.35358718,Other
189,229295,Bruces Creek At Beech Street,-37.5112,145.123,Yarra River Basin
190,236212,Brucknell Creek at Cudgee,-38.34596771,142.65191627,Hopkins River Basin
191,227210,Bruthen Creek at Carrajung Lower,-38.39502395,146.74407,Other
192,227243,Bruthen Creek at downstream of Reedy Creek,-38.41769522,146.8256305,Other
193,227201,Bruthen Creek at Woodside,-38.52644086,146.87151,Other
194,227259,Bruthen Creek downstream of Sth Gippsland Hwy,-38.55677668,146.8813034,Other
195,238604,Bryans Swamp at Victoria Valley,-37.57151292,142.2602161,Glenelg River Basin
196,222206,Buchan River at Buchan,-37.49584324,148.1732424,Snowy River Basin
197,222221,Buchan River at Egw Offtake,-37.47048385,148.1746891,Snowy River Basin
198,222403,Buchan River at Glenmore,-37.2225,148.1328,Snowy River Basin
199,222207,Buchan River at Murrindal,-37.50472222,148.2377778,Snowy River Basin
