,Station ,MaxCategory,Latitude,Longitude,Max Height
221201,Weeragua ,Minor,-37.37293559,149.1986606,3.387
221209,Chandlers Creek ,Minor,-37.35543111,149.2070458,2.202
221210,The Gorge ,Minor,-37.41577078,149.5203757,2.651
222200,Jarrahmond ,Major,-37.66108607,148.3613139,8.677
222201,Orbost ,Major,-37.70739307,148.45095033,7.691
222206,Buchan ,Below minor,-37.49584324,148.1732424,2.373
222209,McKillop's Bridge ,Moderate,-37.08362756,148.4132551,7.619
222219,Basin Creek ,Major,-37.49908473,148.2736248,7.916
223205,D/S Ramrod Ck ,Below minor,-37.67253062,147.8698513,3.134
224200,Bairnsdale (Mitchell R) ,Minor,-37.82638609,147.59361654,4.134
224201,Waterford ,Minor,-37.48996086,147.1664437,3.835
224203,Glenaladale ,Minor,-37.76358991,147.3747776,3.081
225201,Stratford Hydro Gauge ,Below minor,-37.9685868,147.0760061,2.837
225204,Lake Glenmaggie DS ,Below minor,-37.90204282,146.8053219,
225208,Coopers Creek ,Below minor,-37.985709,146.4249277,
225209,Licola ,Below minor,-37.62961037,146.6233123,2.502
225212,Wandocka ,Below minor,-38.01068638,146.8810046,5.873
225224,The Channel ,Below minor,-37.80184085,146.8849073,3.549
225231,U/S Cowwarr Weir ,Minor,-37.97499864,146.62500398,3.963
226005,Thom's Bridge ,Moderate,-38.166772,146.4097,5.399
226023,Traralgon ,Below minor,-38.19405359,146.5439326,2.656
226204,Willow Grove ,Below minor,-38.08850552,146.1596572,4.092
226209,Darnum ,Minor,-38.20566815,146.0021236,3.894
226216,Tanjil South ,Below minor,-38.09467319,146.2422901,1.949
226226,Tanjil Junction ,Below minor,-37.97984217,146.193315,1.965
226228,Rosedale (Main Stream) ,Minor,-38.14239142,146.7917096,4.352
226407,Boolarra ,Below minor,-38.40696156,146.3053661,1.348
226605,Hollands Landing ,Below minor,-38.0546,147.46044,
226606,Loch Sport Marina ,Below minor,-38.04509867,147.5832521,
226607,Paynesville ,Below minor,-37.91159,147.72829,0.644
226608,Metung Marina ,Below minor,-37.88,147.87,
226609,Bullock Island ,Below minor,-37.88424,147.97333,0.845
228213,Iona ,Below minor,-38.12763056,145.6860889,
229142,Fitzsimons Lane Templestowe ,Below minor,-37.74013056,145.1361806,
229143,Alphington ,Below minor,-37.78588056,145.02505,
229149,St.George Road Northcote ,Below minor,-37.77977022,144.9887381,
229200,Warrandyte ,Below minor,-37.73666667,145.22,
229212,Millgrove ,Below minor,-37.75258889,145.6554694,
229614,Lower Plenty ,Below minor,-37.73026944,145.1076,
229653,Coldstream (Yarra Grange) ,Below minor,-37.66721633,145.4760006,
231200,Baccus Marsh ,Below minor,-37.68101727,144.4282675,3.307
231205,Melton Reservoir TG ,Minor,-37.74622874,144.5725944,4.272
231211,Darley (Upstream Goodman Ck) ,Below minor,-37.6307213,144.4272042,3.057
231213,O'Briens Crossing ,Moderate,-37.49627398,144.3610498,3.164
231225,Ballan ,Below minor,-37.59980544,144.2491928,
232202,Batesford Bridge ,Moderate,-38.08931152,144.27822492,4.322
233200,Pollocksford ,Moderate,-38.14339597,144.18710041,6.207
233213,Shelford Highway Bridge ,Moderate,-38.01385278,143.9772528,7.815
233215,Mt. Mercer ,Major,-37.81068186,143.9184477,4.118
233217,Geelong ,Moderate,-38.16360559,144.34689219,3.842
233224,Ricketts Marsh ,Moderate,-38.32521467,143.8335511,6.303
236203,Skipton (Mt Emu Creek) ,Major,-37.68769856,143.36006737,5.55
238211,Dergholm ,Below minor,-37.36671027,141.2427515,3.989
238212,Casterton ,Minor,-37.58242592,141.4089437,3.829
401201,Jingellic ,Moderate,-35.931414,147.7115,7.033
401203,Hinnomunjie ,Below minor,-36.94595897,147.6056955,2.906
401204,Tallandoon ,Moderate,-36.40752232,147.2312238,5.259
401211,Colemans ,Minor,-36.53122801,147.4565577,4.097
401220,McCallums ,Major,-36.21329129,147.3352514,2.74
402203,Mongan's Bridge ,Minor,-36.59537238,147.1003626,3.244
402205,Bandiana ,Minor,-36.1377051,146.9541519,2.854
402222,Kiewa main channel ,Minor,-36.25354477,147.0204923,3.481
403200,Wangaratta ,Major,-36.35066081,146.3209358,12.773
403205,Bright ,Minor,-36.72564366,146.9525954,3.126
403213,Greta South ,Moderate,-36.61945775,146.24407214,5.746
403220,Lake Buffalo DS ,Minor,-36.711606,146.668481,4.946
403223,Docker Road ,Major,-36.5163133,146.38941647,4.289
403227,Cheshunt ,Major,-36.83127032,146.3982264,2.768
403228,Lake William Hovell DS ,Minor,-36.90904874,146.3950117,2.433
403230,Rocky Point ,Minor,-36.5334707,146.6683095,4.175
403233,Harris Lane ,Minor,-36.72149292,146.8820491,3.019
403250,Eurobin ,Minor,-36.65235758,146.8570707,4.798
404203,Benalla ,Below minor,-36.5520875,145.9798536,
404216,Casey Weir ,Major,-36.47353488,145.9417393,3.515
404222,Orrvale ,Major,-36.4313885,145.4497833,8.318
405200,Murchison ,Major,-36.61703491,145.2195882,12.063
405201,Trawool ,Major,-37.0916115,145.2025134,7.677
405202,Seymour ,Major,-37.01990004,145.1089547,8.244
405203,Lake Eildon D/S ,Moderate,-37.2467952,145.8892935,4.972
405204,Shepparton ,Major,-36.37977731,145.3935312,12.029
405209,Taggerty ,Major,-37.31772866,145.7128865,3.262
