Day,Mean,Station,Basin
2022-10-01,92.10579166666666,Murray River at Echuca,Murray Basin
2022-10-02,92.07545833333334,Murray River at Echuca,Murray Basin
2022-10-03,92.078375,Murray River at Echuca,Murray Basin
2022-10-04,92.09279166666666,Murray River at Echuca,Murray Basin
2022-10-05,92.12883333333333,Murray River at Echuca,Murray Basin
2022-10-06,92.20058333333333,Murray River at Echuca,Murray Basin
2022-10-07,92.276,Murray River at Echuca,Murray Basin
2022-10-08,92.3965,Murray River at Echuca,Murray Basin
2022-10-09,92.609125,Murray River at Echuca,Murray Basin
2022-10-10,92.78275000000001,Murray River at Echuca,Murray Basin
2022-10-11,92.868375,Murray River at Echuca,Murray Basin
2022-10-12,92.890375,Murray River at Echuca,Murray Basin
2022-10-13,92.950875,Murray River at Echuca,Murray Basin
2022-10-14,93.12425,Murray River at Echuca,Murray Basin
2022-10-15,93.38216666666666,Murray River at Echuca,Murray Basin
2022-10-16,93.98891666666667,Murray River at Echuca,Murray Basin
2022-10-17,94.26375,Murray River at Echuca,Murray Basin
2022-10-18,94.30245833333333,Murray River at Echuca,Murray Basin
2022-10-19,94.37816666666667,Murray River at Echuca,Murray Basin
2022-10-20,94.47591666666666,Murray River at Echuca,Murray Basin
2022-10-21,94.62583333333333,Murray River at Echuca,Murray Basin
2022-10-22,94.78291666666667,Murray River at Echuca,Murray Basin
2022-10-23,94.84966666666666,Murray River at Echuca,Murray Basin
2022-10-24,94.92075,Murray River at Echuca,Murray Basin
2022-10-25,94.94141666666667,Murray River at Echuca,Murray Basin
2022-10-26,94.96983333333333,Murray River at Echuca,Murray Basin
2022-10-27,94.963625,Murray River at Echuca,Murray Basin
2022-10-28,94.91416666666667,Murray River at Echuca,Murray Basin
2022-10-29,94.87854166666666,Murray River at Echuca,Murray Basin
2022-10-30,94.86595833333332,Murray River at Echuca,Murray Basin
2022-10-31,94.85341666666666,Murray River at Echuca,Murray Basin
2022-11-01,94.82799999999999,Murray River at Echuca,Murray Basin
2022-11-02,94.782875,Murray River at Echuca,Murray Basin
2022-11-03,94.72470833333334,Murray River at Echuca,Murray Basin
2022-11-04,94.666375,Murray River at Echuca,Murray Basin
2022-11-05,94.61062500000001,Murray River at Echuca,Murray Basin
2022-11-06,94.56033333333333,Murray River at Echuca,Murray Basin
2022-11-07,94.52466666666668,Murray River at Echuca,Murray Basin
2022-11-08,94.50075,Murray River at Echuca,Murray Basin
2022-11-09,94.48108333333333,Murray River at Echuca,Murray Basin
2022-11-10,94.46054166666666,Murray River at Echuca,Murray Basin
2022-11-11,94.435,Murray River at Echuca,Murray Basin
2022-11-12,94.40766666666667,Murray River at Echuca,Murray Basin
2022-11-13,94.40945833333335,Murray River at Echuca,Murray Basin
2022-11-14,94.375375,Murray River at Echuca,Murray Basin
2022-11-15,94.342,Murray River at Echuca,Murray Basin
2022-11-16,94.30275,Murray River at Echuca,Murray Basin
2022-11-17,94.25916666666667,Murray River at Echuca,Murray Basin
2022-11-18,94.22645833333333,Murray River at Echuca,Murray Basin
2022-11-19,94.21137499999999,Murray River at Echuca,Murray Basin
2022-11-20,94.21933333333334,Murray River at Echuca,Murray Basin
2022-11-21,94.22095833333333,Murray River at Echuca,Murray Basin
2022-11-22,94.23154166666666,Murray River at Echuca,Murray Basin
2022-11-23,94.25012500000001,Murray River at Echuca,Murray Basin
2022-11-24,94.24254166666667,Murray River at Echuca,Murray Basin
2022-11-25,94.20866666666666,Murray River at Echuca,Murray Basin
2022-11-26,94.168625,Murray River at Echuca,Murray Basin
2022-11-27,94.122,Murray River at Echuca,Murray Basin
2022-11-28,94.07245833333333,Murray River at Echuca,Murray Basin
2022-11-29,94.019625,Murray River at Echuca,Murray Basin
2022-11-30,93.96179166666667,Murray River at Echuca,Murray Basin
2022-12-01,93.89875,Murray River at Echuca,Murray Basin
2022-12-02,93.83354166666668,Murray River at Echuca,Murray Basin
2022-12-03,93.758875,Murray River at Echuca,Murray Basin
2022-12-04,93.66341666666666,Murray River at Echuca,Murray Basin
2022-12-05,93.52991666666667,Murray River at Echuca,Murray Basin
2022-12-06,93.36783333333334,Murray River at Echuca,Murray Basin
2022-12-07,93.183625,Murray River at Echuca,Murray Basin
2022-12-08,92.96554166666668,Murray River at Echuca,Murray Basin
2022-12-09,92.73875,Murray River at Echuca,Murray Basin
2022-12-10,92.505,Murray River at Echuca,Murray Basin
2022-12-11,92.26908333333334,Murray River at Echuca,Murray Basin
2022-12-12,92.05391666666667,Murray River at Echuca,Murray Basin
2022-12-13,91.86125,Murray River at Echuca,Murray Basin
2022-12-14,91.65379166666666,Murray River at Echuca,Murray Basin
2022-12-15,91.46079166666668,Murray River at Echuca,Murray Basin
2022-12-16,91.30991666666667,Murray River at Echuca,Murray Basin
2022-12-17,91.16383333333333,Murray River at Echuca,Murray Basin
2022-12-18,91.03129166666668,Murray River at Echuca,Murray Basin
2022-12-19,90.91529166666668,Murray River at Echuca,Murray Basin
2022-12-20,90.79745833333334,Murray River at Echuca,Murray Basin
2022-12-21,90.66158333333334,Murray River at Echuca,Murray Basin
2022-12-22,90.51025,Murray River at Echuca,Murray Basin
2022-12-23,90.36120833333332,Murray River at Echuca,Murray Basin
