Basin,Site Id,Name,Latitude,Longitude
Avoca River Basin,26,26,26,26
Barwon River Basin,78,78,78,78
Broken River Basin,51,51,51,51
Bunyip River Basin,44,44,44,44
Campaspe River Basin,64,64,64,64
East Gippsland Basin,25,25,25,25
Glenelg River Basin,59,59,59,59
Goulburn River Basin,158,158,158,158
Hopkins River Basin,32,32,32,32
Kiewa River Basin,38,38,38,38
Latrobe River Basin,95,95,95,95
Loddon River Basin,156,156,156,156
Maribyrnong River Basin,43,43,43,43
Mitchell River Basin,19,19,19,19
Moorabool River Basin,51,51,51,51
Murray Basin,115,115,115,115
Other,175,175,175,175
Ovens River Basin,59,59,59,59
Snowy River Basin,25,25,25,25
Tambo River Basin,20,20,20,20
Thomson River Basin,72,72,72,72
Upper Murray River Basin,47,47,47,47
Werribee River Basin,36,36,36,36
Wimmera River Basin,72,72,72,72
Yarra River Basin,66,66,66,66
